Raw Weather Data for La Canada Flintridge, CA
	Average Visibility
1995-10-01	29.2	BURBANK-GLENDALE-PAS
1995-10-02	27.6	BURBANK-GLENDALE-PAS
1995-10-03	92.2	MOUNT WILSON
1995-10-04	15.3	BURBANK-GLENDALE-PAS
1995-10-05	72.5	MOUNT WILSON
1995-10-06	52.5	MOUNT WILSON
1995-10-07	5.0	BURBANK-GLENDALE-PAS
1995-10-08	6.0	BURBANK-GLENDALE-PAS
1995-10-09	4.8	BURBANK-GLENDALE-PAS
1995-10-10	8.0	BURBANK-GLENDALE-PAS
1995-10-11	71.3	MOUNT WILSON
1995-10-12	3.0	BURBANK-GLENDALE-PAS
1995-10-13	57.5	MOUNT WILSON
1995-10-14	69.9	MOUNT WILSON
1995-10-15	80.0	MOUNT WILSON
1995-10-16	84.9	MOUNT WILSON
1995-10-17	67.5	MOUNT WILSON
1995-10-18	67.5	MOUNT WILSON
1995-10-19	63.8	MOUNT WILSON
1995-10-20	55.0	MOUNT WILSON
1995-10-21	2.0	BURBANK-GLENDALE-PAS
1995-10-22	5.6	BURBANK-GLENDALE-PAS
1995-10-23	84.7	MOUNT WILSON
1995-10-24	77.4	MOUNT WILSON
1995-10-25	14.9	BURBANK-GLENDALE-PAS
1995-10-26	50.0	MOUNT WILSON
1995-10-27	7.3	BURBANK-GLENDALE-PAS
1995-10-28	7.8	BURBANK-GLENDALE-PAS
1995-10-29	3.0	BURBANK-GLENDALE-PAS
1995-10-30	84.9	MOUNT WILSON
1995-10-31	58.8	MOUNT WILSON
1995-11-01	0.5	MOUNT WILSON
1995-11-02	7.7	BURBANK-GLENDALE-PAS
1995-11-03	35.0	MOUNT WILSON
1995-11-04	56.1	MOUNT WILSON
1995-11-05	20.0	BURBANK-GLENDALE-PAS
1995-11-06	61.3	MOUNT WILSON
1995-11-07	5.0	BURBANK-GLENDALE-PAS
1995-11-09	3.2	BURBANK-GLENDALE-PAS
1995-11-10	5.2	BURBANK-GLENDALE-PAS
1995-11-11	11.9	BURBANK-GLENDALE-PAS
1995-11-12	82.4	MOUNT WILSON
1995-11-13	82.4	MOUNT WILSON
1995-11-14	69.9	MOUNT WILSON
1995-11-15	2.2	BURBANK-GLENDALE-PAS
1995-11-16	88.6	MOUNT WILSON
1995-11-17	99.4	MOUNT WILSON
1995-11-18	89.9	MOUNT WILSON
1995-11-19	92.4	MOUNT WILSON
1995-11-20	84.9	MOUNT WILSON
1995-11-21	1.7	BURBANK-GLENDALE-PAS
1995-11-22	6.5	BURBANK-GLENDALE-PAS
1995-11-23	77.5	MOUNT WILSON
1995-11-24	77.4	MOUNT WILSON
1995-11-25	81.3	MOUNT WILSON
1995-11-26	77.4	MOUNT WILSON
1995-11-27	17.0	BURBANK-GLENDALE-PAS
1995-11-28	18.3	BURBANK-GLENDALE-PAS
1995-11-29	24.6	BURBANK-GLENDALE-PAS
1995-11-30	99.4	MOUNT WILSON
1995-12-01	5.5	BURBANK-GLENDALE-PAS
1995-12-02	2.5	BURBANK-GLENDALE-PAS
1995-12-03	1.8	BURBANK-GLENDALE-PAS
1995-12-04	67.4	MOUNT WILSON
1995-12-05	6.7	BURBANK-GLENDALE-PAS
1995-12-06	76.3	MOUNT WILSON
1995-12-07	71.3	MOUNT WILSON
1995-12-08	89.7	MOUNT WILSON
1995-12-09	74.9	MOUNT WILSON
1995-12-10	6.7	BURBANK-GLENDALE-PAS
1995-12-11	2.8	BURBANK-GLENDALE-PAS
1995-12-12	3.7	BURBANK-GLENDALE-PAS
1995-12-13	5.9	BURBANK-GLENDALE-PAS
1995-12-14	30.9	BURBANK-GLENDALE-PAS
1995-12-15	21.7	BURBANK-GLENDALE-PAS
1995-12-16	88.6	MOUNT WILSON
1995-12-17	36.9	BURBANK-GLENDALE-PAS
1995-12-18	99.4	MOUNT WILSON
1995-12-19	77.4	MOUNT WILSON
1995-12-20	36.3	MOUNT WILSON
1995-12-21	64.9	MOUNT WILSON
1995-12-22	33.8	MOUNT WILSON
1995-12-23	10.5	BURBANK-GLENDALE-PAS
1995-12-24	72.3	MOUNT WILSON
1995-12-25	89.9	MOUNT WILSON
1995-12-26	37.4	BURBANK-GLENDALE-PAS
1995-12-27	31.4	BURBANK-GLENDALE-PAS
1995-12-28	20.2	BURBANK-GLENDALE-PAS
1995-12-29	79.9	MOUNT WILSON
1995-12-30	18.4	BURBANK-GLENDALE-PAS
1995-12-31	16.0	BURBANK-GLENDALE-PAS
1995-11-08	5.6	LOS ANGELES INTERNAT
1996-01-01	28.1	BURBANK-GLENDALE-PAS
1996-01-02	99.4	MOUNT WILSON
1996-01-03	23.9	BURBANK-GLENDALE-PAS
1996-01-04	13.1	BURBANK-GLENDALE-PAS
1996-01-05	4.5	BURBANK-GLENDALE-PAS
1996-01-06	94.7	MOUNT WILSON
1996-01-07	35.2	BURBANK-GLENDALE-PAS
1996-01-08	97.1	MOUNT WILSON
1996-01-09	8.7	BURBANK-GLENDALE-PAS
1996-01-10	94.7	MOUNT WILSON
1996-01-11	35.8	BURBANK-GLENDALE-PAS
1996-01-12	99.4	MOUNT WILSON
1996-01-13	26.2	BURBANK-GLENDALE-PAS
1996-01-14	99.4	MOUNT WILSON
1996-01-15	89.7	MOUNT WILSON
1996-01-16	83.5	MOUNT WILSON
1996-01-17	21.9	BURBANK-GLENDALE-PAS
1996-01-18	89.7	MOUNT WILSON
1996-01-19	30.2	MOUNT WILSON
1996-01-20	32.0	BURBANK-GLENDALE-PAS
1996-01-21	14.9	BURBANK-GLENDALE-PAS
1996-01-22	32.6	MOUNT WILSON
1996-01-23	99.4	MOUNT WILSON
1996-01-24	97.1	MOUNT WILSON
1996-01-25	20.1	MOUNT WILSON
1996-01-26	12.3	BURBANK-GLENDALE-PAS
1996-01-27	8.5	BURBANK-GLENDALE-PAS
1996-01-28	44.9	MOUNT WILSON
1996-01-29	62.5	MOUNT WILSON
1996-01-30	94.7	MOUNT WILSON
1996-01-31	25.1	MOUNT WILSON
1996-02-01	5.3	MOUNT WILSON
1996-02-02	7.0	BURBANK-GLENDALE-PAS
1996-02-03	4.6	MOUNT WILSON
1996-02-04	11.0	BURBANK-GLENDALE-PAS
1996-02-05	89.7	MOUNT WILSON
1996-02-06	74.6	MOUNT WILSON
1996-02-07	99.4	MOUNT WILSON
1996-02-08	99.4	MOUNT WILSON
1996-02-09	99.4	MOUNT WILSON
1996-02-10	93.6	MOUNT WILSON
1996-02-11	5.2	BURBANK-GLENDALE-PAS
1996-02-12	73.8	MOUNT WILSON
1996-02-13	62.5	MOUNT WILSON
1996-02-14	61.3	MOUNT WILSON
1996-02-15	61.3	MOUNT WILSON
1996-02-16	77.4	MOUNT WILSON
1996-02-17	11.6	BURBANK-GLENDALE-PAS
1996-02-18	87.4	MOUNT WILSON
1996-02-19	37.8	MOUNT WILSON
1996-02-20	4.6	BURBANK-GLENDALE-PAS
1996-02-21	0.1	MOUNT WILSON
1996-02-22	25.0	BURBANK-GLENDALE-PAS
1996-02-23	74.6	MOUNT WILSON
1996-02-24	99.4	MOUNT WILSON
1996-02-25	3.3	MOUNT WILSON
1996-02-26	21.1	MOUNT WILSON
1996-02-27	82.1	MOUNT WILSON
1996-02-28	40.0	MOUNT WILSON
1996-02-29	22.3	BURBANK-GLENDALE-PAS
1996-03-01	76.0	MOUNT WILSON
1996-03-02	92.1	MOUNT WILSON
1996-03-03	89.9	MOUNT WILSON
1996-03-04	37.5	MOUNT WILSON
1996-03-05	0.7	MOUNT WILSON
1996-03-06	50.0	MOUNT WILSON
1996-03-07	36.7	BURBANK-GLENDALE-PAS
1996-03-08	39.5	BURBANK-GLENDALE-PAS
1996-03-09	97.1	MOUNT WILSON
1996-03-10	99.4	MOUNT WILSON
1996-03-11	13.3	BURBANK-GLENDALE-PAS
1996-03-12	15.1	MOUNT WILSON
1996-03-13	9.7	BURBANK-GLENDALE-PAS
1996-03-14	17.4	BURBANK-GLENDALE-PAS
1996-03-15	80.8	MOUNT WILSON
1996-03-16	84.6	MOUNT WILSON
1996-03-17	97.1	MOUNT WILSON
1996-03-18	98.3	MOUNT WILSON
1996-03-19	84.9	MOUNT WILSON
1996-03-20	79.9	MOUNT WILSON
1996-03-21	82.4	MOUNT WILSON
1996-03-22	4.1	BURBANK-GLENDALE-PAS
1996-03-23	22.8	MOUNT WILSON
1996-03-24	28.2	BURBANK-GLENDALE-PAS
1996-03-25	12.7	BURBANK-GLENDALE-PAS
1996-03-26	59.9	MOUNT WILSON
1996-03-27	87.4	MOUNT WILSON
1996-03-28	38.8	MOUNT WILSON
1996-03-29	24.5	BURBANK-GLENDALE-PAS
1996-03-30	67.4	MOUNT WILSON
1996-03-31	74.9	MOUNT WILSON
1996-04-01	87.2	MOUNT WILSON
1996-04-02	16.4	BURBANK-GLENDALE-PAS
1996-04-04	20.9	BURBANK-GLENDALE-PAS
1996-04-05	99.4	MOUNT WILSON
1996-04-06	39.1	BURBANK-GLENDALE-PAS
1996-04-07	99.4	MOUNT WILSON
1996-04-08	11.9	BURBANK-GLENDALE-PAS
1996-04-09	7.2	BURBANK-GLENDALE-PAS
1996-04-10	36.4	MOUNT WILSON
1996-04-11	57.8	MOUNT WILSON
1996-04-12	22.8	BURBANK-GLENDALE-PAS
1996-04-13	67.5	MOUNT WILSON
1996-04-14	25.6	BURBANK-GLENDALE-PAS
1996-04-15	17.0	BURBANK-GLENDALE-PAS
1996-04-16	16.3	BURBANK-GLENDALE-PAS
1996-04-17	13.8	BURBANK-GLENDALE-PAS
1996-04-18	0.2	MOUNT WILSON
1996-04-19	99.4	MOUNT WILSON
1996-04-20	76.1	MOUNT WILSON
1996-04-21	27.4	BURBANK-GLENDALE-PAS
1996-04-22	87.1	MOUNT WILSON
1996-04-23	21.7	BURBANK-GLENDALE-PAS
1996-04-24	62.5	MOUNT WILSON
1996-04-25	72.4	MOUNT WILSON
1996-04-26	12.9	BURBANK-GLENDALE-PAS
1996-04-27	94.6	MOUNT WILSON
1996-04-28	4.1	BURBANK-GLENDALE-PAS
1996-04-29	79.7	MOUNT WILSON
1996-04-30	26.8	BURBANK-GLENDALE-PAS
1996-05-01	69.9	MOUNT WILSON
1996-05-02	6.9	BURBANK-GLENDALE-PAS
1996-05-03	74.9	MOUNT WILSON
1996-05-04	70.0	MOUNT WILSON
1996-05-05	6.7	BURBANK-GLENDALE-PAS
1996-05-06	67.4	MOUNT WILSON
1996-05-07	62.8	MOUNT WILSON
1996-05-08	70.0	MOUNT WILSON
1996-05-09	67.5	MOUNT WILSON
1996-05-10	63.0	MOUNT WILSON
1996-05-11	66.3	MOUNT WILSON
1996-05-12	68.8	MOUNT WILSON
1996-05-13	75.0	MOUNT WILSON
1996-05-14	69.9	MOUNT WILSON
1996-05-15	76.1	MOUNT WILSON
1996-05-16	14.8	BURBANK-GLENDALE-PAS
1996-05-17	52.4	MOUNT WILSON
1996-05-18	17.9	BURBANK-GLENDALE-PAS
1996-05-19	60.0	MOUNT WILSON
1996-05-20	52.6	MOUNT WILSON
1996-05-21	62.6	MOUNT WILSON
1996-05-22	48.8	MOUNT WILSON
1996-05-23	47.5	MOUNT WILSON
1996-05-24	19.3	BURBANK-GLENDALE-PAS
1996-05-25	14.3	BURBANK-GLENDALE-PAS
1996-05-26	14.8	BURBANK-GLENDALE-PAS
1996-05-27	7.3	BURBANK-GLENDALE-PAS
1996-05-28	11.0	BURBANK-GLENDALE-PAS
1996-05-29	67.4	MOUNT WILSON
1996-05-30	32.6	MOUNT WILSON
1996-05-31	9.5	BURBANK-GLENDALE-PAS
1996-06-01	65.0	MOUNT WILSON
1996-06-02	17.5	BURBANK-GLENDALE-PAS
1996-06-03	66.3	MOUNT WILSON
1996-06-04	60.0	MOUNT WILSON
1996-06-05	4.4	BURBANK-GLENDALE-PAS
1996-06-06	60.0	MOUNT WILSON
1996-06-07	4.3	BURBANK-GLENDALE-PAS
1996-06-08	62.5	MOUNT WILSON
1996-06-09	62.5	MOUNT WILSON
1996-06-10	62.5	MOUNT WILSON
1996-06-11	61.3	MOUNT WILSON
1996-06-12	6.7	BURBANK-GLENDALE-PAS
1996-06-13	71.3	MOUNT WILSON
1996-06-14	6.3	BURBANK-GLENDALE-PAS
1996-06-15	67.5	MOUNT WILSON
1996-06-16	75.0	MOUNT WILSON
1996-06-17	89.7	MOUNT WILSON
1996-06-18	89.7	MOUNT WILSON
1996-06-19	12.4	BURBANK-GLENDALE-PAS
1996-06-20	8.3	BURBANK-GLENDALE-PAS
1996-06-21	79.9	MOUNT WILSON
1996-06-22	60.0	MOUNT WILSON
1996-06-23	9.8	BURBANK-GLENDALE-PAS
1996-06-24	77.4	MOUNT WILSON
1996-06-25	9.3	BURBANK-GLENDALE-PAS
1996-06-26	25.5	MOUNT WILSON
1996-06-27	45.2	MOUNT WILSON
1996-06-28	76.1	MOUNT WILSON
1996-06-29	89.7	MOUNT WILSON
1996-06-30	94.6	MOUNT WILSON
1996-07-01	30.3	BURBANK-GLENDALE-PAS
1996-07-02	24.0	BURBANK-GLENDALE-PAS
1996-07-04	14.3	BURBANK-GLENDALE-PAS
1996-07-05	12.3	BURBANK-GLENDALE-PAS
1996-07-06	15.4	BURBANK-GLENDALE-PAS
1996-07-07	13.6	BURBANK-GLENDALE-PAS
1996-07-08	9.4	BURBANK-GLENDALE-PAS
1996-07-09	6.2	BURBANK-GLENDALE-PAS
1996-07-10	14.7	BURBANK-GLENDALE-PAS
1996-07-11	72.5	MOUNT WILSON
1996-07-12	18.2	BURBANK-GLENDALE-PAS
1996-07-13	56.3	MOUNT WILSON
1996-07-14	11.3	BURBANK-GLENDALE-PAS
1996-07-15	7.9	BURBANK-GLENDALE-PAS
1996-07-16	5.6	BURBANK-GLENDALE-PAS
1996-07-17	6.1	BURBANK-GLENDALE-PAS
1996-07-18	5.6	BURBANK-GLENDALE-PAS
1996-07-19	9.1	BURBANK-GLENDALE-PAS
1996-07-20	13.0	BURBANK-GLENDALE-PAS
1996-07-22	17.1	BURBANK-GLENDALE-PAS
1996-07-23	16.1	BURBANK-GLENDALE-PAS
1996-07-24	68.8	MOUNT WILSON
1996-07-25	57.5	MOUNT WILSON
1996-07-26	11.0	BURBANK-GLENDALE-PAS
1996-07-27	14.5	BURBANK-GLENDALE-PAS
1996-07-28	21.1	BURBANK-GLENDALE-PAS
1996-07-29	22.2	BURBANK-GLENDALE-PAS
1996-07-30	20.4	BURBANK-GLENDALE-PAS
1996-07-31	80.0	MOUNT WILSON
1996-08-01	80.0	MOUNT WILSON
1996-08-02	7.4	BURBANK-GLENDALE-PAS
1996-08-03	4.9	BURBANK-GLENDALE-PAS
1996-08-04	7.5	BURBANK-GLENDALE-PAS
1996-08-05	8.8	BURBANK-GLENDALE-PAS
1996-08-06	8.7	BURBANK-GLENDALE-PAS
1996-08-07	8.9	BURBANK-GLENDALE-PAS
1996-08-08	6.5	BURBANK-GLENDALE-PAS
1996-08-09	6.3	BURBANK-GLENDALE-PAS
1996-08-10	6.0	BURBANK-GLENDALE-PAS
1996-08-11	7.0	BURBANK-GLENDALE-PAS
1996-08-12	10.8	BURBANK-GLENDALE-PAS
1996-08-13	12.5	BURBANK-GLENDALE-PAS
1996-08-14	10.1	BURBANK-GLENDALE-PAS
1996-08-15	48.8	MOUNT WILSON
1996-08-16	37.5	MOUNT WILSON
1996-08-17	8.4	BURBANK-GLENDALE-PAS
1996-08-18	6.3	BURBANK-GLENDALE-PAS
1996-08-19	6.1	BURBANK-GLENDALE-PAS
1996-08-20	12.0	BURBANK-GLENDALE-PAS
1996-08-21	16.0	BURBANK-GLENDALE-PAS
1996-08-23	17.2	BURBANK-GLENDALE-PAS
1996-08-24	20.2	BURBANK-GLENDALE-PAS
1996-08-25	26.8	BURBANK-GLENDALE-PAS
1996-08-28	19.8	BURBANK-GLENDALE-PAS
1996-08-29	18.0	BURBANK-GLENDALE-PAS
1996-08-30	68.8	MOUNT WILSON
1996-08-31	19.8	BURBANK-GLENDALE-PAS
1996-09-01	13.3	BURBANK-GLENDALE-PAS
1996-09-02	8.6	BURBANK-GLENDALE-PAS
1996-09-03	5.6	BURBANK-GLENDALE-PAS
1996-09-04	5.4	BURBANK-GLENDALE-PAS
1996-09-05	11.8	BURBANK-GLENDALE-PAS
1996-09-06	15.0	BURBANK-GLENDALE-PAS
1996-09-08	27.4	BURBANK-GLENDALE-PAS
1996-09-09	22.5	BURBANK-GLENDALE-PAS
1996-09-10	27.8	BURBANK-GLENDALE-PAS
1996-09-12	22.9	BURBANK-GLENDALE-PAS
1996-09-13	67.8	MOUNT WILSON
1996-09-14	15.5	BURBANK-GLENDALE-PAS
1996-09-15	14.3	BURBANK-GLENDALE-PAS
1996-09-16	11.9	BURBANK-GLENDALE-PAS
1996-09-17	56.4	MOUNT WILSON
1996-09-18	15.8	BURBANK-GLENDALE-PAS
1996-09-19	11.6	BURBANK-GLENDALE-PAS
1996-09-20	12.3	BURBANK-GLENDALE-PAS
1996-09-21	9.7	BURBANK-GLENDALE-PAS
1996-09-22	7.7	BURBANK-GLENDALE-PAS
1996-09-23	5.2	BURBANK-GLENDALE-PAS
1996-09-24	6.6	BURBANK-GLENDALE-PAS
1996-09-25	5.7	BURBANK-GLENDALE-PAS
1996-09-26	6.7	BURBANK-GLENDALE-PAS
1996-09-27	6.0	BURBANK-GLENDALE-PAS
1996-09-28	9.1	BURBANK-GLENDALE-PAS
1996-09-29	16.2	BURBANK-GLENDALE-PAS
1996-09-30	4.0	BURBANK-GLENDALE-PAS
1996-10-01	4.3	BURBANK-GLENDALE-PAS
1996-10-02	5.3	BURBANK-GLENDALE-PAS
1996-10-03	6.5	BURBANK-GLENDALE-PAS
1996-10-04	10.2	BURBANK-GLENDALE-PAS
1996-10-05	3.3	BURBANK-GLENDALE-PAS
1996-10-06	5.0	BURBANK-GLENDALE-PAS
1996-10-07	9.6	BURBANK-GLENDALE-PAS
1996-10-08	14.0	BURBANK-GLENDALE-PAS
1996-10-09	5.4	BURBANK-GLENDALE-PAS
1996-10-10	10.5	BURBANK-GLENDALE-PAS
1996-10-11	16.3	BURBANK-GLENDALE-PAS
1996-10-12	17.9	BURBANK-GLENDALE-PAS
1996-10-13	12.9	BURBANK-GLENDALE-PAS
1996-10-14	3.9	BURBANK-GLENDALE-PAS
1996-10-15	3.2	BURBANK-GLENDALE-PAS
1996-10-16	2.2	BURBANK-GLENDALE-PAS
1996-10-17	2.9	BURBANK-GLENDALE-PAS
1996-10-18	3.5	BURBANK-GLENDALE-PAS
1996-10-19	6.9	MOUNT WILSON
1996-10-20	26.9	BURBANK-GLENDALE-PAS
1996-10-21	38.9	BURBANK-GLENDALE-PAS
1996-10-24	16.8	BURBANK-GLENDALE-PAS
1996-10-25	21.8	BURBANK-GLENDALE-PAS
1996-10-29	14.9	BURBANK-GLENDALE-PAS
1996-10-31	2.8	MOUNT WILSON
1996-11-01	26.4	BURBANK-GLENDALE-PAS
1996-11-03	12.3	BURBANK-GLENDALE-PAS
1996-11-04	6.3	BURBANK-GLENDALE-PAS
1996-11-05	5.1	BURBANK-GLENDALE-PAS
1996-11-06	17.0	BURBANK-GLENDALE-PAS
1996-11-12	20.2	BURBANK-GLENDALE-PAS
1996-11-14	1.5	BURBANK-GLENDALE-PAS
1996-11-15	14.4	MOUNT WILSON
1996-11-16	62.6	MOUNT WILSON
1996-11-17	27.5	MOUNT WILSON
1996-11-18	9.1	BURBANK-GLENDALE-PAS
1996-11-19	3.2	BURBANK-GLENDALE-PAS
1996-11-20	4.6	BURBANK-GLENDALE-PAS
1996-11-21	0.2	MOUNT WILSON
1996-11-22	2.1	MOUNT WILSON
1996-11-23	23.6	BURBANK-GLENDALE-PAS
1996-11-24	29.5	BURBANK-GLENDALE-PAS
1996-11-25	25.5	BURBANK-GLENDALE-PAS
1996-11-29	33.1	BURBANK-GLENDALE-PAS
1996-12-01	32.2	BURBANK-GLENDALE-PAS
1996-12-03	29.1	BURBANK-GLENDALE-PAS
1996-12-05	81.3	MOUNT WILSON
1996-12-06	5.8	BURBANK-GLENDALE-PAS
1996-12-07	11.1	BURBANK-GLENDALE-PAS
1996-12-10	4.3	BURBANK-GLENDALE-PAS
1996-12-11	0.2	MOUNT WILSON
1996-12-12	5.6	BURBANK-GLENDALE-PAS
1996-12-13	5.1	BURBANK-GLENDALE-PAS
1996-12-14	23.3	BURBANK-GLENDALE-PAS
1996-12-15	37.6	BURBANK-GLENDALE-PAS
1996-12-16	35.4	BURBANK-GLENDALE-PAS
1996-12-18	27.6	BURBANK-GLENDALE-PAS
1996-12-22	11.0	BURBANK-GLENDALE-PAS
1996-12-23	30.4	BURBANK-GLENDALE-PAS
1996-12-25	31.3	BURBANK-GLENDALE-PAS
1996-12-26	18.0	BURBANK-GLENDALE-PAS
1996-12-27	31.3	MOUNT WILSON
1996-12-28	0.2	MOUNT WILSON
1996-12-29	9.7	BURBANK-GLENDALE-PAS
1997-01-01	4.7	BURBANK-GLENDALE-PAS
1997-01-02	1.5	BURBANK-GLENDALE-PAS
1997-01-03	14.9	BURBANK-GLENDALE-PAS
1997-01-05	0.2	MOUNT WILSON
1997-01-10	5.9	BURBANK-GLENDALE-PAS
1997-01-11	3.7	BURBANK-GLENDALE-PAS
1997-01-12	4.9	BURBANK-GLENDALE-PAS
1997-01-13	0.2	MOUNT WILSON
1997-01-14	0.3	MOUNT WILSON
1997-01-15	5.2	MOUNT WILSON
1997-01-16	34.3	BURBANK-GLENDALE-PAS
1997-01-21	13.2	BURBANK-GLENDALE-PAS
1997-01-22	5.0	BURBANK-GLENDALE-PAS
1997-01-23	0.2	MOUNT WILSON
1997-01-24	11.5	BURBANK-GLENDALE-PAS
1997-01-25	7.2	BURBANK-GLENDALE-PAS
1997-01-26	0.2	MOUNT WILSON
1997-01-28	33.6	BURBANK-GLENDALE-PAS
1997-01-29	35.9	BURBANK-GLENDALE-PAS
1997-01-31	33.8	BURBANK-GLENDALE-PAS
1997-02-01	15.4	BURBANK-GLENDALE-PAS
1997-02-02	6.1	BURBANK-GLENDALE-PAS
1997-02-03	10.7	BURBANK-GLENDALE-PAS
1997-02-04	20.6	BURBANK-GLENDALE-PAS
1997-02-05	18.8	BURBANK-GLENDALE-PAS
1997-02-06	24.5	BURBANK-GLENDALE-PAS
1997-02-07	21.5	BURBANK-GLENDALE-PAS
1997-02-08	87.5	MOUNT WILSON
1997-02-09	15.3	BURBANK-GLENDALE-PAS
1997-02-10	55.0	MOUNT WILSON
1997-02-11	9.8	BURBANK-GLENDALE-PAS
1997-02-12	6.3	BURBANK-GLENDALE-PAS
1997-02-13	29.1	BURBANK-GLENDALE-PAS
1997-02-19	36.6	BURBANK-GLENDALE-PAS
1997-02-20	37.9	BURBANK-GLENDALE-PAS
1997-02-23	30.8	BURBANK-GLENDALE-PAS
1997-02-24	34.4	BURBANK-GLENDALE-PAS
1997-02-25	32.9	BURBANK-GLENDALE-PAS
1997-02-26	20.5	BURBANK-GLENDALE-PAS
1997-02-27	13.2	BURBANK-GLENDALE-PAS
1997-02-28	57.5	MOUNT WILSON
1997-03-03	16.5	BURBANK-GLENDALE-PAS
1997-03-04	16.9	BURBANK-GLENDALE-PAS
1997-03-06	35.4	BURBANK-GLENDALE-PAS
1997-03-08	11.7	BURBANK-GLENDALE-PAS
1997-03-09	17.0	BURBANK-GLENDALE-PAS
1997-03-12	14.2	BURBANK-GLENDALE-PAS
1997-03-13	9.6	BURBANK-GLENDALE-PAS
1997-03-14	12.0	BURBANK-GLENDALE-PAS
1997-03-15	60.0	MOUNT WILSON
1997-03-17	8.0	BURBANK-GLENDALE-PAS
1997-03-21	19.4	BURBANK-GLENDALE-PAS
1997-03-23	7.2	BURBANK-GLENDALE-PAS
1997-03-24	6.8	BURBANK-GLENDALE-PAS
1997-03-25	11.4	BURBANK-GLENDALE-PAS
1997-03-26	12.6	BURBANK-GLENDALE-PAS
1997-03-27	4.6	BURBANK-GLENDALE-PAS
1997-03-28	6.7	BURBANK-GLENDALE-PAS
1997-03-29	9.0	BURBANK-GLENDALE-PAS
1997-03-30	8.6	BURBANK-GLENDALE-PAS
1997-03-31	12.6	BURBANK-GLENDALE-PAS
1997-04-02	28.9	BURBANK-GLENDALE-PAS
1997-04-03	36.9	BURBANK-GLENDALE-PAS
1997-04-04	19.3	BURBANK-GLENDALE-PAS
1997-04-05	11.0	BURBANK-GLENDALE-PAS
1997-04-06	14.0	BURBANK-GLENDALE-PAS
1997-04-07	13.8	BURBANK-GLENDALE-PAS
1997-04-08	35.2	MOUNT WILSON
1997-04-09	22.3	BURBANK-GLENDALE-PAS
1997-04-10	33.4	BURBANK-GLENDALE-PAS
1997-04-11	19.7	BURBANK-GLENDALE-PAS
1997-04-12	24.0	BURBANK-GLENDALE-PAS
1997-04-13	25.2	BURBANK-GLENDALE-PAS
1997-04-14	50.8	MOUNT WILSON
1997-04-15	20.2	BURBANK-GLENDALE-PAS
1997-04-16	15.4	BURBANK-GLENDALE-PAS
1997-04-17	10.5	BURBANK-GLENDALE-PAS
1997-04-18	4.1	BURBANK-GLENDALE-PAS
1997-04-19	57.5	MOUNT WILSON
1997-04-23	88.0	MOUNT WILSON
1997-04-24	30.9	BURBANK-GLENDALE-PAS
1997-04-27	27.0	BURBANK-GLENDALE-PAS
1997-04-28	12.0	BURBANK-GLENDALE-PAS
1997-04-29	9.4	BURBANK-GLENDALE-PAS
1997-04-30	8.7	BURBANK-GLENDALE-PAS
1997-05-01	24.5	BURBANK-GLENDALE-PAS
1997-05-02	56.3	MOUNT WILSON
1997-05-03	60.0	MOUNT WILSON
1997-05-04	13.5	BURBANK-GLENDALE-PAS
1997-05-05	16.8	BURBANK-GLENDALE-PAS
1997-05-07	80.0	MOUNT WILSON
1997-05-08	12.3	BURBANK-GLENDALE-PAS
1997-05-09	9.3	BURBANK-GLENDALE-PAS
1997-05-10	9.5	BURBANK-GLENDALE-PAS
1997-05-11	7.0	BURBANK-GLENDALE-PAS
1997-05-12	4.9	BURBANK-GLENDALE-PAS
1997-05-13	4.1	BURBANK-GLENDALE-PAS
1997-05-14	3.2	BURBANK-GLENDALE-PAS
1997-05-15	4.2	BURBANK-GLENDALE-PAS
1997-05-16	7.7	BURBANK-GLENDALE-PAS
1997-05-17	4.1	BURBANK-GLENDALE-PAS
1997-05-18	3.9	BURBANK-GLENDALE-PAS
1997-05-19	4.5	BURBANK-GLENDALE-PAS
1997-05-20	6.0	BURBANK-GLENDALE-PAS
1997-05-21	5.4	BURBANK-GLENDALE-PAS
1997-05-22	5.4	BURBANK-GLENDALE-PAS
1997-05-23	6.4	BURBANK-GLENDALE-PAS
1997-05-24	28.3	BURBANK-GLENDALE-PAS
1997-05-25	23.9	BURBANK-GLENDALE-PAS
1997-05-26	23.6	BURBANK-GLENDALE-PAS
1997-05-27	32.4	BURBANK-GLENDALE-PAS
1997-05-28	85.0	MOUNT WILSON
1997-05-30	18.0	BURBANK-GLENDALE-PAS
1997-05-31	7.7	BURBANK-GLENDALE-PAS
1997-06-01	9.0	BURBANK-GLENDALE-PAS
1997-06-03	9.7	BURBANK-GLENDALE-PAS
1997-06-04	66.3	MOUNT WILSON
1997-06-05	20.2	MOUNT WILSON
1997-06-06	15.5	BURBANK-GLENDALE-PAS
1997-06-07	7.6	BURBANK-GLENDALE-PAS
1997-06-08	10.2	BURBANK-GLENDALE-PAS
1997-06-09	13.2	BURBANK-GLENDALE-PAS
1997-06-10	12.6	BURBANK-GLENDALE-PAS
1997-06-11	11.9	BURBANK-GLENDALE-PAS
1997-06-12	6.6	BURBANK-GLENDALE-PAS
1997-06-13	13.7	BURBANK-GLENDALE-PAS
1997-06-14	11.9	BURBANK-GLENDALE-PAS
1997-06-15	15.5	BURBANK-GLENDALE-PAS
1997-06-17	10.4	BURBANK-GLENDALE-PAS
